Image,Detected Object(s),Generated_Image_Path
1351.jpeg,"['canoe', 'lakeside, lakeshore', 'valley, vale', 'paddle, boat paddle', 'geyser']",images\1351.jpeg
13514.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'baboon']",images\13514.jpeg
13515.jpeg,"['alp', 'bicycle-built-for-two, tandem bicycle, tandem', 'moped', 'mountain bike, all-terrain bike, off-roader', 'unicycle, monocycle']",images\13515.jpeg
13516.jpeg,"['jigsaw puzzle', 'web site, website, internet site, site', 'comic book', 'mobile home, manufactured home', 'window screen']",images\13516.jpeg
1352.jpeg,"['alp', 'valley, vale', 'lakeside, lakeshore', 'parachute, chute', 'mountain bike, all-terrain bike, off-roader']",images\1352.jpeg
1353.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'brass, memorial tablet, plaque']",images\1353.jpeg
1354.jpeg,"['alp', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'racer, race car, racing car', 'limousine, limo', 'minivan']",images\1354.jpeg
13548.jpeg,"['alp', 'valley, vale', 'lakeside, lakeshore', 'coral reef', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis']",images\13548.jpeg
13549.jpeg,"['fountain', 'bannister, banister, balustrade, balusters, handrail', 'valley, vale']",images\13549.jpeg
1355.jpeg,"['valley, vale', 'maze, labyrinth', 'lakeside, lakeshore', 'canoe', 'alp']",images\1355.jpeg
1356.jpeg,"['macaque', 'baboon', 'gibbon, Hylobates lar']",images\1356.jpeg
13585.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'comic book', 'baboon', 'gorilla, Gorilla gorilla']",images\13585.jpeg
1359.jpeg,"['baboon', 'alp', 'cliff, drop, drop-off', 'fur coat']",images\1359.jpeg
13597.jpeg,"['web site, website, internet site, site', 'ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin', 'Siberian husky', 'dogsled, dog sled, dog sleigh']",images\13597.jpeg
1360.jpeg,"['mountain tent', 'alp', 'snowmobile']",images\1360.jpeg
1361.jpeg,"['sea snake', 'brain coral', 'maze, labyrinth', 'coral reef', 'sandbar, sand bar']",images\1361.jpeg
13613.jpeg,"['web site, website, internet site, site', 'menu', 'crossword puzzle, crossword']",images\13613.jpeg
1363.jpeg,"['langur', 'web site, website, internet site, site', 'macaque', 'gibbon, Hylobates lar', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1363.jpeg
13653.jpeg,"['gorilla, Gorilla gorilla', 'gibbon, Hylobates lar', 'comic book', 'chimpanzee, chimp, Pan troglodytes', 'fur coat']",images\13653.jpeg
13654.jpeg,"['radiator', 'grille, radiator grille', 'coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch', 'bobsled, bobsleigh, bob', 'lumbermill, sawmill']",images\13654.jpeg
1366.jpeg,"['comic book', 'web site, website, internet site, site', 'slot, one-armed bandit']",images\1366.jpeg
13662.jpeg,"['web site, website, internet site, site', 'envelope', 'menu', 'book jacket, dust cover, dust jacket, dust wrapper']",images\13662.jpeg
13663.jpeg,"['langur', 'fountain', 'maze, labyrinth', 'macaque', 'baboon']",images\13663.jpeg
1367.jpeg,"['comic book', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'jigsaw puzzle', 'gondola']",images\1367.jpeg
13673.jpeg,['ski mask'],images\13673.jpeg
13674.jpeg,"['web site, website, internet site, site', 'parachute, chute', 'puck, hockey puck', 'nail', 'envelope']",images\13674.jpeg
1368.jpeg,"['baboon', 'chimpanzee, chimp, Pan troglodytes', 'macaque', 'patas, hussar monkey, Erythrocebus patas', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1368.jpeg
1369.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1369.jpeg
13691.jpeg,"['police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria', 'cab, hack, taxi, taxicab', 'ambulance']",images\13691.jpeg
13692.jpeg,['Rhodesian ridgeback'],images\13692.jpeg
13699.jpeg,"['valley, vale', 'alp', 'lakeside, lakeshore']",images\13699.jpeg
1370.jpeg,"['mountain bike, all-terrain bike, off-roader', 'paddle, boat paddle', 'canoe', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1370.jpeg
1371.jpeg,"['racer, race car, racing car', 'seashore, coast, seacoast, sea-coast', 'limousine, limo', 'pier', 'car wheel']",images\1371.jpeg
13714.jpeg,"['giant schnauzer', 'binoculars, field glasses, opera glasses', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'rifle', 'standard schnauzer']",images\13714.jpeg
13717.jpeg,"['sweatshirt', 'gasmask, respirator, gas helmet', 'shovel', 'reel', 'umbrella']",images\13717.jpeg
13718.jpeg,"['racer, race car, racing car', 'rapeseed', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'pickup, pickup truck', 'convertible']",images\13718.jpeg
1372.jpeg,"['alp', 'book jacket, dust cover, dust jacket, dust wrapper', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis', 'ibex, Capra ibex', 'comic book']",images\1372.jpeg
13721.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\13721.jpeg
13729.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'orangutan, orang, orangutang, Pongo pygmaeus', 'gibbon, Hylobates lar']",images\13729.jpeg
1373.jpeg,"['grille, radiator grille', 'buckle', 'park bench', 'shield, buckler', 'tray']",images\1373.jpeg
1374.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1374.jpeg
1375.jpeg,"['fountain', 'lakeside, lakeshore', 'canoe', 'book jacket, dust cover, dust jacket, dust wrapper', 'monitor']",images\1375.jpeg
1376.jpeg,"['spotlight, spot', 'stage', 'fountain', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca', 'jigsaw puzzle']",images\1376.jpeg
13768.jpeg,"['lakeside, lakeshore', 'valley, vale', 'sea snake', 'seashore, coast, seacoast, sea-coast', 'Madagascar cat, ring-tailed lemur, Lemur catta']",images\13768.jpeg
1377.jpeg,"['pickup, pickup truck', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'convertible', 'grille, radiator grille', 'minivan']",images\1377.jpeg
13773.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'jigsaw puzzle']",images\13773.jpeg
13816.jpeg,"['briard', 'orangutan, orang, orangutang, Pongo pygmaeus', 'Afghan hound, Afghan', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla']",images\13816.jpeg
1382.jpeg,"['rifle', 'broom', 'assault rifle, assault gun', 'swab, swob, mop', 'crutch']",images\1382.jpeg
13828.jpeg,"['mongoose', 'maze, labyrinth', 'African elephant, Loxodonta africana', 'meerkat, mierkat', 'Indian cobra, Naja naja']",images\13828.jpeg
1383.jpeg,"['chimpanzee, chimp, Pan troglodytes']",images\1383.jpeg
13833.jpeg,"['theater curtain, theatre curtain', 'shower curtain']",images\13833.jpeg
13839.jpeg,"['mountain tent', 'street sign', 'alp']",images\13839.jpeg
1384.jpeg,['fountain'],images\1384.jpeg
1385.jpeg,"['valley, vale', 'viaduct', 'cliff, drop, drop-off']",images\1385.jpeg
1386.jpeg,"['earthstar', 'hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa', 'conch', 'snail', 'gyromitra']",images\1386.jpeg
1387.jpeg,"['tusker', 'Indian elephant, Elephas maximus', 'patas, hussar monkey, Erythrocebus patas', 'African elephant, Loxodonta africana', 'baboon']",images\1387.jpeg
13874.jpeg,"['lumbermill, sawmill', 'barn', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\13874.jpeg
1388.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1388.jpeg
13882.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'pole']",images\13882.jpeg
13889.jpeg,"['baboon', 'shopping cart', 'chimpanzee, chimp, Pan troglodytes', 'sloth bear, Melursus ursinus, Ursus ursinus', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\13889.jpeg
1389.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\1389.jpeg
1390.jpeg,['honeycomb'],images\1390.jpeg
1391.jpeg,"['racer, race car, racing car', 'car wheel', 'minivan', 'snowplow, snowplough', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\1391.jpeg
13918.jpeg,"['spotlight, spot', 'stage', 'traffic light, traffic signal, stoplight']",images\13918.jpeg
1393.jpeg,"['valley, vale', 'cliff, drop, drop-off', 'alp']",images\1393.jpeg
1394.jpeg,"['mountain tent', 'fire screen, fireguard', 'volcano']",images\1394.jpeg
13949.jpeg,"['park bench', 'submarine, pigboat, sub, U-boat', 'mailbox, letter box', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty', 'snowplow, snowplough']",images\13949.jpeg
1395.jpeg,"['valley, vale', 'cliff, drop, drop-off', 'dam, dike, dyke', 'volcano', 'Bouvier des Flandres, Bouviers des Flandres']",images\1395.jpeg
13961.jpeg,"['gorilla, Gorilla gorilla', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar']",images\13961.jpeg
13964.jpeg,"['alp', 'valley, vale', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\13964.jpeg
13976.jpeg,"['analog clock', 'sundial', 'brass, memorial tablet, plaque', 'wall clock', 'mask']",images\13976.jpeg
13983.jpeg,"['seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore', 'valley, vale', 'promontory, headland, head, foreland', 'sandbar, sand bar']",images\13983.jpeg
140.jpeg,"['lakeside, lakeshore', 'lumbermill, sawmill', 'valley, vale', 'ox', 'cliff, drop, drop-off']",images\140.jpeg
14021.jpeg,"['comic book', 'half track', 'book jacket, dust cover, dust jacket, dust wrapper']",images\14021.jpeg
14035.jpeg,"['alp', 'valley, vale', 'giant schnauzer', 'schipperke', 'groenendael']",images\14035.jpeg
14037.jpeg,"['valley, vale', 'volcano', 'cliff, drop, drop-off', 'wreck', 'dam, dike, dyke']",images\14037.jpeg
1405.jpeg,"['ski', 'shovel', 'bannister, banister, balustrade, balusters, handrail', 'alp', 'ski mask']",images\1405.jpeg
1406.jpeg,"['lakeside, lakeshore', 'valley, vale', 'seashore, coast, seacoast, sea-coast']",images\1406.jpeg
1407.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'limousine, limo']",images\1407.jpeg
14075.jpeg,['mountain tent'],images\14075.jpeg
14082.jpeg,"['candle, taper, wax light', 'suit, suit of clothes', 'maze, labyrinth', 'traffic light, traffic signal, stoplight', 'torch']",images\14082.jpeg
14100.jpeg,"['croquet ball', 'shovel', 'crutch', 'jeep, landrover', 'minivan']",images\14100.jpeg
1411.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'sock', 'car wheel', 'comic book']",images\1411.jpeg
14112.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\14112.jpeg
14118.jpeg,"['menu', 'web site, website, internet site, site', 'assault rifle, assault gun', 'rifle']",images\14118.jpeg
14143.jpeg,"['cab, hack, taxi, taxicab', 'traffic light, traffic signal, stoplight']",images\14143.jpeg
14144.jpeg,"['spotlight, spot', 'limousine, limo', 'Irish water spaniel', 'pickup, pickup truck', 'grille, radiator grille']",images\14144.jpeg
14150.jpeg,"['brass, memorial tablet, plaque', 'street sign', 'web site, website, internet site, site', 'megalith, megalithic structure', 'binoculars, field glasses, opera glasses']",images\14150.jpeg
14154.jpeg,"['street sign', 'cab, hack, taxi, taxicab', 'limousine, limo', 'traffic light, traffic signal, stoplight', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']",images\14154.jpeg
14181.jpeg,"['theater curtain, theatre curtain', 'book jacket, dust cover, dust jacket, dust wrapper', 'shower curtain']",images\14181.jpeg
1419.jpeg,"['leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea', 'valley, vale', 'sandbar, sand bar', 'seashore, coast, seacoast, sea-coast', 'geyser']",images\1419.jpeg
14223.jpeg,"['ballplayer, baseball player', 'comic book', 'web site, website, internet site, site', 'prison, prison house', 'bannister, banister, balustrade, balusters, handrail']",images\14223.jpeg
14232.jpeg,"['mountain tent', 'stove', 'Dutch oven', 'caldron, cauldron']",images\14232.jpeg
14237.jpeg,"['lakeside, lakeshore', 'valley, vale', 'castle', 'greenhouse, nursery, glasshouse', 'fountain']",images\14237.jpeg
14243.jpeg,"['bannister, banister, balustrade, balusters, handrail', 'colobus, colobus monkey', 'spotlight, spot', 'guenon, guenon monkey', 'indri, indris, Indri indri, Indri brevicaudatus']",images\14243.jpeg
1427.jpeg,"['maze, labyrinth', 'wallaby, brush kangaroo', 'curly-coated retriever', 'theater curtain, theatre curtain', 'mountain tent']",images\1427.jpeg
14271.jpeg,"['fountain', 'head cabbage', 'artichoke, globe artichoke', 'cardoon']",images\14271.jpeg
1428.jpeg,['mountain tent'],images\1428.jpeg
14280.jpeg,"['nematode, nematode worm, roundworm']",images\14280.jpeg
1429.jpeg,"['baboon', 'spider monkey, Ateles geoffroyi', 'langur', 'patas, hussar monkey, Erythrocebus patas', 'guenon, guenon monkey']",images\1429.jpeg
14305.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'giant schnauzer', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\14305.jpeg
1431.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'monitor', 'spotlight, spot', 'jigsaw puzzle']",images\1431.jpeg
1432.jpeg,"['menu', 'brass, memorial tablet, plaque', 'scoreboard']",images\1432.jpeg
14323.jpeg,"['lakeside, lakeshore', 'Airedale, Airedale terrier', 'Irish terrier', 'Bedlington terrier', 'Chesapeake Bay retriever']",images\14323.jpeg
1433.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'baboon', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar']",images\1433.jpeg
14336.jpeg,"['web site, website, internet site, site', 'envelope']",images\14336.jpeg
14338.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', ""plunger, plumber's helper""]",images\14338.jpeg
1434.jpeg,"['alp', 'valley, vale', 'triceratops', 'cliff, drop, drop-off', 'cliff dwelling']",images\1434.jpeg
14350.jpeg,"['minivan', 'shopping cart', 'car mirror', 'tow truck, tow car, wrecker', 'limousine, limo']",images\14350.jpeg
14354.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'howler monkey, howler', 'gorilla, Gorilla gorilla', 'titi, titi monkey', 'gibbon, Hylobates lar']",images\14354.jpeg
14358.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\14358.jpeg
1436.jpeg,"['valley, vale', 'maze, labyrinth', 'alp', 'lakeside, lakeshore', 'canoe']",images\1436.jpeg
14373.jpeg,"['mountain bike, all-terrain bike, off-roader', 'alp', 'valley, vale', 'maze, labyrinth', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\14373.jpeg
14376.jpeg,"['canoe', 'paddle, boat paddle']",images\14376.jpeg
1438.jpeg,"['fox squirrel, eastern fox squirrel, Sciurus niger', 'komondor', 'megalith, megalithic structure', 'frilled lizard, Chlamydosaurus kingi', 'cliff, drop, drop-off']",images\1438.jpeg
14383.jpeg,"['alp', 'lakeside, lakeshore', 'boathouse', 'valley, vale', 'church, church building']",images\14383.jpeg
1440.jpeg,['canoe'],images\1440.jpeg
14404.jpeg,"['pedestal, plinth, footstall', 'park bench', 'croquet ball', 'cannon', 'golf ball']",images\14404.jpeg
14407.jpeg,"['mountain tent', 'lakeside, lakeshore', 'maze, labyrinth', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\14407.jpeg
14427.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'spider monkey, Ateles geoffroyi', 'fire screen, fireguard', 'Madagascar cat, ring-tailed lemur, Lemur catta', 'langur']",images\14427.jpeg
1445.jpeg,"['African elephant, Loxodonta africana', 'Indian elephant, Elephas maximus', 'valley, vale', 'maze, labyrinth', 'tusker']",images\1445.jpeg
14457.jpeg,"['impala, Aepyceros melampus', 'gazelle', 'hartebeest', 'lakeside, lakeshore', 'fountain']",images\14457.jpeg
1446.jpeg,"['comic book', 'shower curtain']",images\1446.jpeg
14467.jpeg,['baboon'],images\14467.jpeg
14493.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'window shade', 'chimpanzee, chimp, Pan troglodytes', 'groenendael', 'spider monkey, Ateles geoffroyi']",images\14493.jpeg
145.jpeg,"['fountain', 'brass, memorial tablet, plaque', 'coral reef', 'maze, labyrinth', 'jigsaw puzzle']",images\145.jpeg
1450.jpeg,"['ambulance', 'fire engine, fire truck', 'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'tow truck, tow car, wrecker']",images\1450.jpeg
14503.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'baboon']",images\14503.jpeg
14508.jpeg,"['fountain', 'dam, dike, dyke', 'amphibian, amphibious vehicle']",images\14508.jpeg
1451.jpeg,"['lakeside, lakeshore', 'umbrella', 'spotlight, spot']",images\1451.jpeg
1452.jpeg,"['convertible', 'sports car, sport car']",images\1452.jpeg
14525.jpeg,"['gorilla, Gorilla gorilla', 'stretcher', 'canoe', 'reel', 'chimpanzee, chimp, Pan troglodytes']",images\14525.jpeg
1453.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'park bench', 'prison, prison house', 'turnstile', 'barn']",images\1453.jpeg
14534.jpeg,"['lakeside, lakeshore', 'book jacket, dust cover, dust jacket, dust wrapper', 'valley, vale', 'alp', 'cliff, drop, drop-off']",images\14534.jpeg
1454.jpeg,"['alp', 'valley, vale']",images\1454.jpeg
1456.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1456.jpeg
14567.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes']",images\14567.jpeg
1458.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1458.jpeg
1459.jpeg,"['langur', 'gibbon, Hylobates lar', 'baboon']",images\1459.jpeg
1460.jpeg,"['marmoset', 'skunk, polecat, wood pussy', 'langur', 'Pekinese, Pekingese, Peke', 'keeshond']",images\1460.jpeg
1461.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'jigsaw puzzle']",images\1461.jpeg
14611.jpeg,"['fountain', 'valley, vale', 'lakeside, lakeshore']",images\14611.jpeg
1462.jpeg,"['shovel', 'cloak', 'fur coat', 'ski mask', 'hatchet']",images\1462.jpeg
14638.jpeg,"['gorilla, Gorilla gorilla']",images\14638.jpeg
14642.jpeg,"['convertible', 'television, television system', 'car mirror', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'racer, race car, racing car']",images\14642.jpeg
14646.jpeg,"['fountain', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\14646.jpeg
14677.jpeg,"['jeep, landrover', 'snowplow, snowplough', 'amphibian, amphibious vehicle', 'geyser', 'car wheel']",images\14677.jpeg
147.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'cassette']",images\147.jpeg
14707.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\14707.jpeg
1471.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1471.jpeg
14714.jpeg,['volcano'],images\14714.jpeg
14719.jpeg,"['suspension bridge', 'pier', 'steel arch bridge', 'maze, labyrinth', 'lakeside, lakeshore']",images\14719.jpeg
1473.jpeg,"['web site, website, internet site, site', 'comic book', 'vizsla, Hungarian pointer', 'book jacket, dust cover, dust jacket, dust wrapper', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\1473.jpeg
14732.jpeg,"['television, television system', 'spotlight, spot', 'monitor', 'book jacket, dust cover, dust jacket, dust wrapper', 'valley, vale']",images\14732.jpeg
14739.jpeg,"['airship, dirigible', 'submarine, pigboat, sub, U-boat', 'cliff, drop, drop-off', 'wreck', 'barn']",images\14739.jpeg
1478.jpeg,"['langur', 'gibbon, Hylobates lar', 'spider monkey, Ateles geoffroyi', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'macaque']",images\1478.jpeg
14795.jpeg,"['minivan', 'limousine, limo', 'jeep, landrover', 'recreational vehicle, RV, R.V.', 'lakeside, lakeshore']",images\14795.jpeg
1480.jpeg,"['mountain tent', 'folding chair', 'fire screen, fireguard', 'patio, terrace', 'restaurant, eating house, eating place, eatery']",images\1480.jpeg
14801.jpeg,"['paddle, boat paddle', 'canoe', 'reel', 'valley, vale', 'sea lion']",images\14801.jpeg
14802.jpeg,"['mountain tent', 'greenhouse, nursery, glasshouse', 'mosquito net', 'sliding door', 'barrow, garden cart, lawn cart, wheelbarrow']",images\14802.jpeg
14814.jpeg,"['fountain', 'viaduct', 'castle', 'valley, vale', 'monastery']",images\14814.jpeg
14828.jpeg,['suspension bridge'],images\14828.jpeg
14841.jpeg,"['patio, terrace', 'ski mask', 'snowmobile', 'bannister, banister, balustrade, balusters, handrail', 'gasmask, respirator, gas helmet']",images\14841.jpeg
14845.jpeg,"['valley, vale', 'lakeside, lakeshore', 'alp', 'viaduct', 'mountain tent']",images\14845.jpeg
14854.jpeg,"['gibbon, Hylobates lar', 'spider monkey, Ateles geoffroyi', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'langur', 'comic book']",images\14854.jpeg
14872.jpeg,"['komondor', 'wire-haired fox terrier', 'Bedlington terrier', 'standard poodle', 'geyser']",images\14872.jpeg
1488.jpeg,"['Border collie', 'collie', 'Shetland sheepdog, Shetland sheep dog, Shetland']",images\1488.jpeg
14887.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper']",images\14887.jpeg
14891.jpeg,"['totem pole', 'mountain bike, all-terrain bike, off-roader', 'unicycle, monocycle', 'baboon', 'moped']",images\14891.jpeg
14942.jpeg,"['trilobite', 'isopod']",images\14942.jpeg
1495.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book']",images\1495.jpeg
14952.jpeg,"['Egyptian cat', 'coyote, prairie wolf, brush wolf, Canis latrans', 'wallaby, brush kangaroo', 'Madagascar cat, ring-tailed lemur, Lemur catta', 'timber wolf, grey wolf, gray wolf, Canis lupus']",images\14952.jpeg
14953.jpeg,"['baboon', 'macaque', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes']",images\14953.jpeg
1496.jpeg,"['lumbermill, sawmill', 'boathouse', 'barn', 'mobile home, manufactured home']",images\1496.jpeg
1498.jpeg,"['lakeside, lakeshore', 'fountain', 'palace', 'geyser', 'fireboat']",images\1498.jpeg
14982.jpeg,"['fountain pen', 'envelope', 'menu', 'ballpoint, ballpoint pen, ballpen, Biro']",images\14982.jpeg
14987.jpeg,"['web site, website, internet site, site']",images\14987.jpeg
14997.jpeg,"['abaya', 'spotlight, spot', 'car mirror', 'alp']",images\14997.jpeg
15003.jpeg,"['jeep, landrover', 'spotlight, spot', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\15003.jpeg
15007.jpeg,"['web site, website, internet site, site']",images\15007.jpeg
1501.jpeg,"['briard', 'chimpanzee, chimp, Pan troglodytes', 'Bouvier des Flandres, Bouviers des Flandres', 'gorilla, Gorilla gorilla', 'Tibetan terrier, chrysanthemum dog']",images\1501.jpeg
15013.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes']",images\15013.jpeg
15019.jpeg,"['sliding door', 'dumbbell', 'vacuum, vacuum cleaner', 'unicycle, monocycle', 'bannister, banister, balustrade, balusters, handrail']",images\15019.jpeg
1502.jpeg,"['swab, swob, mop', 'hand blower, blow dryer, blow drier, hair dryer, hair drier', 'orangutan, orang, orangutang, Pongo pygmaeus', 'briard', 'window shade']",images\1502.jpeg
15039.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'mountain bike, all-terrain bike, off-roader', 'bannister, banister, balustrade, balusters, handrail', 'plow, plough']",images\15039.jpeg
1504.jpeg,"['bison', 'baboon', 'macaque', 'minivan', 'Arabian camel, dromedary, Camelus dromedarius']",images\1504.jpeg
1505.jpeg,"['mask', 'wig', 'comic book']",images\1505.jpeg
15050.jpeg,['swing'],images\15050.jpeg
1506.jpeg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'garbage truck, dustcart', 'tow truck, tow car, wrecker', 'moving van']",images\1506.jpeg
15060.jpeg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'suspension bridge', 'tow truck, tow car, wrecker']",images\15060.jpeg
15062.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'comic book', 'gibbon, Hylobates lar', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\15062.jpeg
15067.jpeg,"['cannon', 'triceratops']",images\15067.jpeg
1507.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book', 'church, church building']",images\1507.jpeg
15075.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla']",images\15075.jpeg
15088.jpeg,"['geyser', 'alp', 'valley, vale', 'lakeside, lakeshore']",images\15088.jpeg
1510.jpeg,"['lakeside, lakeshore', 'jeep, landrover', 'canoe', 'valley, vale', 'geyser']",images\1510.jpeg
15102.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes']",images\15102.jpeg
15107.jpeg,"['beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'book jacket, dust cover, dust jacket, dust wrapper', 'wallaby, brush kangaroo', 'web site, website, internet site, site']",images\15107.jpeg
15108.jpeg,"['giant schnauzer', 'patio, terrace', 'Labrador retriever', 'studio couch, day bed', 'Rottweiler']",images\15108.jpeg
15119.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'soccer ball', 'web site, website, internet site, site']",images\15119.jpeg
15120.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\15120.jpeg
15125.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15125.jpeg
15135.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'scuba diver']",images\15135.jpeg
15144.jpeg,"['Staffordshire bullterrier, Staffordshire bull terrier', 'Labrador retriever', 'book jacket, dust cover, dust jacket, dust wrapper', 'curly-coated retriever', 'pug, pug-dog']",images\15144.jpeg
