Image,Image Caption(s),Generated_Image_Path
1795.jpeg,"['a group of people sitting on top of a bed .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a white bed .']",images\1795.jpeg
17957.jpeg,"['a man riding a motorcycle down a street .', 'a man riding a motorcycle down a street next to a forest .', 'a man riding a motorcycle down a street next to a lush green field .']",images\17957.jpeg
1796.jpeg,"['a bird is perched on a tree branch .', 'a bird is perched on top of a tree branch .', 'a bird is perched on a branch of a tree .']",images\1796.jpeg
17981.jpeg,"['a picture of a man on a skateboard .', 'a man is sitting on a bench reading a book .', 'a picture of a man on a skateboard']",images\17981.jpeg
18001.jpeg,"['a group of people sitting around a table .', 'a group of people sitting around a wooden table .', 'a group of people sitting around a table with food .']",images\18001.jpeg
1801.jpeg,"['a dog sitting in the back of a truck .', 'a dog sitting in the back of a pick up truck .', 'a dog sitting in the back of a pickup truck .']",images\1801.jpeg
18016.jpeg,"['a brown dog standing next to a red fire hydrant .', 'a dog is sitting on the side of a road .', 'a dog is sitting on the side of the road .']",images\18016.jpeg
18033.jpeg,"['a train traveling over a bridge over a river .', 'a train traveling down tracks next to a river .', 'a train traveling over a bridge over a body of water .']",images\18033.jpeg
18043.jpeg,"['a man is holding a sign with a dog on it .', 'a man is holding a sign with a dog on it', 'a man is holding a sign with a dog in his hand .']",images\18043.jpeg
18044.jpeg,"['a car driving down a street next to a traffic light .', 'a car driving down a street next to a car .', 'a car driving down a street next to a street sign .']",images\18044.jpeg
18050.jpeg,"['a group of people sitting on top of a couch .', 'a group of people sitting on a couch in front of a tv .', 'a group of people sitting on top of a couch next to a table .']",images\18050.jpeg
18056.jpeg,"['a statue of a man holding a cell phone .', 'a statue of a man holding a cell phone', 'a statue of a man in a suit and tie']",images\18056.jpeg
18059.jpeg,"['a group of people riding bikes down a street .', 'a group of people riding bikes down a sidewalk .', 'a group of people riding bikes down a street']",images\18059.jpeg
18065.jpeg,"['a group of people standing next to each other .', 'a group of people standing around a tree .', 'a group of people standing next to each other in a forest .']",images\18065.jpeg
1809.jpeg,"['a large body of water with mountains in the background .', 'a large body of water with a sky background', 'a large body of water with mountains in the background']",images\1809.jpeg
1811.jpeg,"['a collage of photos with a sign on a wall', 'a collage of photos of a person holding a tennis racket', 'a collage of photos of a person holding a sign']",images\1811.jpeg
18122.jpeg,"['a train traveling down tracks next to a train station .', 'a train traveling down tracks next to a tall building .', 'a train traveling down train tracks next to a train station .']",images\18122.jpeg
1815.jpeg,"['a black cat sitting on top of a wooden bench .', 'a black cat sitting on top of a tree .', 'a black cat sitting on top of a pile of rocks .']",images\1815.jpeg
18174.jpeg,"['a couple of birds sitting on top of a tree .', 'a group of birds sitting on top of a tree .', 'a couple of birds sitting on top of a tree branch .']",images\18174.jpeg
1818.jpeg,"['a black and white dog sitting on top of a tv .', 'a black and white dog sitting on top of a laptop computer .', 'a black and white dog sitting on top of a laptop .']",images\1818.jpeg
18189.jpeg,"['a black and white photo of a person on a boat .', 'a black and white photo of a man and a dog', 'a black and white photo of a person on a boat']",images\18189.jpeg
18219.jpeg,"['a person riding a skate board at a skate park', 'a person riding a skate board on a ledge', 'a person riding a skate board on a rail']",images\18219.jpeg
18221.jpeg,"['a black bear sitting on top of a tree .', 'a black bear sitting on top of a tree branch .', 'a black bear sitting on a tree branch']",images\18221.jpeg
18278.jpeg,"['a black and white cat sitting on top of a window sill .', 'a black and white cat sitting on a window sill .', 'a black and white cat is sitting on a window sill']",images\18278.jpeg
1829.jpeg,"['a large brown bear sitting on top of a table .', 'a large brown bear sitting on top of a wooden table .', 'a brown teddy bear sitting on top of a wooden table .']",images\1829.jpeg
18297.jpeg,"['a man riding a skateboard down a street .', 'a man riding a horse in the middle of a field .', 'a man riding a skateboard down a hill .']",images\18297.jpeg
18298.jpeg,"['a man riding a skateboard on top of a ramp .', 'a man riding a skateboard on top of a cement ramp .', 'a man riding a skateboard on top of a cement block .']",images\18298.jpeg
1830.jpeg,"['a large elephant standing next to a stone wall .', 'a large elephant standing next to a man .', 'a large elephant standing next to a stone wall']",images\1830.jpeg
1831.jpeg,"['a person riding skis on a snowy surface', 'a person riding skis on a snowy slope', 'a person riding a snowboard down a snow covered slope .']",images\1831.jpeg
18325.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a field .', 'a group of people standing on top of a grass covered field .']",images\18325.jpeg
18333.jpeg,"['a man riding a skateboard down a ramp .', 'a man riding a skateboard on top of a ramp .', 'a man riding a skateboard on a ramp .']",images\18333.jpeg
1834.jpeg,"['a sign on a wall with a sign on it .', 'a sign on a wall with a sign on it', ""a sign that says `` <UNK> '' on the side of a building .""]",images\1834.jpeg
18349.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a grass covered field .', 'a group of people standing in a field .']",images\18349.jpeg
18361.jpeg,"['a man riding a skateboard up the side of a ramp .', 'a person riding a skate board at a skate park', 'a person riding a skate board on a skate park']",images\18361.jpeg
18376.jpeg,"['a man in a military uniform cutting a cake .', 'a man in a military uniform cutting a cake', 'a man in a military uniform cutting a cake with a sword .']",images\18376.jpeg
18377.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other on a field .', 'a group of people standing next to each other on a grass covered field .']",images\18377.jpeg
18395.jpeg,"['a city street filled with lots of traffic .', 'a city street filled with traffic next to a tall building .', 'a city street filled with lots of traffic and traffic .']",images\18395.jpeg
18403.jpeg,"['a group of people riding horses down a road .', 'a group of people riding horses down a street .', 'a group of people riding horses down a road']",images\18403.jpeg
1841.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to a sign .', 'a group of people standing in front of a sign .']",images\1841.jpeg
18427.jpeg,"['a group of people standing in front of a tv .', 'a group of people standing around a table with a cake .', 'a group of people standing around a table with a cake on it .']",images\18427.jpeg
18439.jpeg,"['a large truck is driving down the road .', 'a large truck is driving down the road', 'a large truck is driving down the street .']",images\18439.jpeg
18442.jpeg,"['a truck is parked on the side of the road .', 'a truck is parked on the side of a road .', 'a truck is parked on the side of the road']",images\18442.jpeg
1850.jpeg,"['a group of people standing around a large group of birds .', 'a group of people standing around a large group of people .', 'a group of people standing around a large group of colorful flowers .']",images\1850.jpeg
1851.jpeg,"['a person on a horse in the snow .', 'a person on a snow board in the snow .', 'a person on a horse in the middle of the snow .']",images\1851.jpeg
18516.jpeg,"['a group of people sitting on top of a bridge .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .']",images\18516.jpeg
1853.jpeg,"['a dog is sitting in the back of a truck .', ""a dog is sitting in the driver 's seat of a car ."", 'a dog is sitting in the back of a car .']",images\1853.jpeg
18584.jpeg,"['a herd of cattle grazing on a lush green field .', 'a herd of cattle standing on top of a lush green field .', 'a herd of cattle grazing on a lush green hillside .']",images\18584.jpeg
186.jpeg,"['a woman sitting on top of a wooden bench .', 'a woman sitting on top of a wooden bench next to a statue .', 'a woman sitting on top of a wooden bench next to a teddy bear .']",images\186.jpeg
18620.jpeg,"['a black and white photo of a street sign', 'a black and white photo of a forest with trees .', 'a black and white photo of a forest with trees']",images\18620.jpeg
18623.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other in a room .', 'a group of people standing next to each other in front of a building .']",images\18623.jpeg
18632.jpeg,"['a group of people walking down a street .', 'a group of people standing on top of a bridge .', 'a group of people standing on top of a cement walkway .']",images\18632.jpeg
1864.jpeg,"['a man riding a skateboard down a street .', 'a person riding a skate board on a city street', 'a man riding a skateboard down the side of a road .']",images\1864.jpeg
1865.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .', 'a group of people standing on top of a snow covered field .']",images\1865.jpeg
1866.jpeg,"['a black and white photo of a beach with people on it .', 'a black and white photo of a beach with people on it', 'a black and white photo of a beach with a boat in the background .']",images\1866.jpeg
18680.jpeg,"['a group of people standing around a plane .', 'a group of people standing around a small airplane .', 'a group of people standing next to a plane .']",images\18680.jpeg
187.jpeg,"['a person jumping a skate board in the air', 'a man riding a skateboard up the side of a ramp .', 'a man riding a skateboard down a ramp .']",images\187.jpeg
18707.jpeg,"['a group of people sitting on top of a bench .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on a bench in front of a fountain .']",images\18707.jpeg
18723.jpeg,"['a man holding a surfboard on top of a beach .', 'a man holding a surfboard on top of a truck .', 'a man standing next to a surfboard on top of a beach .']",images\18723.jpeg
18737.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard on top of a ramp .', 'a man riding a skateboard on top of a cement ramp .']",images\18737.jpeg
18793.jpeg,"['a black and white photo of a man holding a baseball bat .', 'a black and white photo of a man holding a tennis racket .', 'a black and white photo of a man in a suit']",images\18793.jpeg
1880.jpeg,"['a person riding skis down a snow covered slope .', 'a person riding skis on a snowy surface', 'a person riding skis on a snowy slope']",images\1880.jpeg
18823.jpeg,"['a group of people on a field with a frisbee .', 'a group of people sitting on top of a lush green field .', 'a group of people on a field playing with a frisbee .']",images\18823.jpeg
1888.jpeg,"['a man holding a stop sign in front of a sign .', 'a man holding a stop sign in front of a sign', 'a man is holding a stop sign in front of a crowd .']",images\1888.jpeg
18902.jpeg,"['a couple of bears that are in the water .', 'a couple of bears that are in the water', 'a couple of birds that are sitting on a rock .']",images\18902.jpeg
18943.jpeg,"['a group of dogs standing in front of a truck .', 'a group of people standing next to a black and white dog .', 'a group of dogs standing in front of a parked truck .']",images\18943.jpeg
1895.jpeg,"['a group of people flying kites in a field .', 'a group of people flying kites in a field', 'a group of people flying kites in the sky']",images\1895.jpeg
18958.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a dirt field .', 'a group of people standing next to each other on a dirt field .']",images\18958.jpeg
18972.jpeg,"['a black and white dog sitting on top of a surfboard .', 'a dog is standing in the middle of the road .', 'a dog is standing in the middle of the street']",images\18972.jpeg
19015.jpeg,"['a group of people sitting on top of a snow covered slope .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a snow covered ground .']",images\19015.jpeg
1904.jpeg,"['a train traveling down tracks next to a forest .', 'a train traveling down train tracks near a forest .', 'a train traveling down train tracks next to a forest .']",images\1904.jpeg
1907.jpeg,"['a dog sitting in the back seat of a car .', 'a dog sitting in the back of a car .', ""a dog sitting in the driver 's seat of a car .""]",images\1907.jpeg
19073.jpeg,"['a car driving down a street next to a traffic light .', 'a car driving down a street next to tall buildings .', 'a person riding a motorcycle on a street']",images\19073.jpeg
191.jpeg,"['a group of people riding motorcycles down a street .', 'a group of people riding motorcycles down a race track .', 'a group of people riding motorcycles on a race track .']",images\191.jpeg
19100.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a river .', 'a group of people standing on top of a beach .']",images\19100.jpeg
19129.jpeg,"['a man standing on top of a skateboard ramp .', 'a man standing on a skateboard in a park .', 'a man standing on top of a skateboard in a park .']",images\19129.jpeg
1917.jpeg,"['a view of a mountain range with mountains in the background .', 'a view of a mountain range with a mountain in the background .', 'a view of a mountain range with mountains in the distance .']",images\1917.jpeg
19170.jpeg,"['a man standing next to a small elephant .', 'a man riding a bike with a dog on top of it .', 'a man riding a motorcycle with a dog on top of it .']",images\19170.jpeg
1918.jpeg,"['a dog sitting on a bench in front of a window .', 'a dog sitting on a bench in front of a building .', 'a dog sitting on a bench in front of a window']",images\1918.jpeg
1919.jpeg,"['a man sitting on the back of a motorcycle .', 'a man sitting on the back of a truck .', 'a man sitting on the back of a truck next to a dog .']",images\1919.jpeg
19206.jpeg,"['a black and white photo of a bathroom sink .', 'a black and white photo of a bathroom sink', 'a black and white photo of a person sitting on a toilet .']",images\19206.jpeg
19223.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other on a field .', 'a group of people standing next to each other on a bench .']",images\19223.jpeg
19232.jpeg,"['a man riding a skateboard down a street .', 'a man riding a motorcycle down a street .', 'a man riding a bike down a street next to a car .']",images\19232.jpeg
1925.jpeg,"['a person is snowboarding down a snowy hill .', 'a person is snowboarding down a snowy hill', 'a person is snowboarding down a snowy slope .']",images\1925.jpeg
19339.jpeg,"['a truck with a dog on the back', 'a truck with a dog on the back of it', 'a truck with a dog on the back of it .']",images\19339.jpeg
19350.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .', 'a group of people on a beach with a lot of birds .']",images\19350.jpeg
19354.jpeg,"['a group of people sitting on top of a couch .', 'a group of people sitting on top of a bed .', 'a group of people sitting on top of a couch next to a table .']",images\19354.jpeg
1939.jpeg,"['a man is standing in the middle of a flooded street .', 'a man is standing in the middle of the road .', 'a man is standing in the middle of a river']",images\1939.jpeg
19421.jpeg,"['a man riding a skateboard down a street .', 'a person riding a skate board on a city street', 'a person riding a skate board on a street']",images\19421.jpeg
1944.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other in front of a building .', 'a group of people standing next to each other in a zoo .']",images\1944.jpeg
19448.jpeg,"['a bunch of birds that are sitting in the grass .', 'a bunch of birds that are sitting on some grass .', 'a bunch of birds that are sitting on a rock .']",images\19448.jpeg
1947.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a person on a snowboard in the snow .', 'a man riding a snowboard on top of a snow covered slope .']",images\1947.jpeg
19472.jpeg,"['a man holding a white frisbee in his hands .', 'a man holding a white frisbee in front of his face .', 'a man holding a white frisbee in his hands']",images\19472.jpeg
1949.jpeg,"['a man riding a motorcycle down a dirt road .', 'a person riding a motorcycle down a road .', 'a person riding a motorcycle down a road']",images\1949.jpeg
1950.jpeg,"['a man flying through the air while riding a snowboard .', 'a man riding a snowboard down a snow covered slope .', 'a man flying through the air while riding a skateboard .']",images\1950.jpeg
1951.jpeg,"['a large body of water with trees in the background', 'a large body of water with trees in the background .', 'a view of a river with a bridge in the background .']",images\1951.jpeg
1953.jpeg,"['a man sitting on a bench reading a book .', 'a man sitting on a bench reading a book', 'a man sitting on a bench with a book .']",images\1953.jpeg
1954.jpeg,"['a black and white photo of a man and a bear .', 'a black and white photo of a bear and a bear', 'a black and white photo of a man and a bear']",images\1954.jpeg
1955.jpeg,"['a large body of water next to a bridge .', 'a large body of water with lots of trees .', 'a large body of water with a bridge in the background']",images\1955.jpeg
19588.jpeg,"['a man is sitting on a bench next to a tree .', 'a man is sitting on a bench with a dog .', 'a man is sitting on a bench in the woods .']",images\19588.jpeg
19589.jpeg,"['a wooden bench sitting in the middle of a forest .', 'a wooden bench in the middle of a forest .', 'a wooden bench sitting in a forest next to a forest .']",images\19589.jpeg
1963.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people skiing down a snow covered slope .', 'a group of people riding skis down a snow covered ski slope .']",images\1963.jpeg
19655.jpeg,"['a bathroom with a shower and a toilet .', 'a bathroom with a shower , toilet and sink .', 'a bathroom with a shower and a toilet']",images\19655.jpeg
1966.jpeg,"['a group of people standing next to a stop sign .', 'a group of people standing next to a sign .', 'a group of people standing next to a stop sign']",images\1966.jpeg
19666.jpeg,"['a large brown bear standing next to a tree .', 'a large brown bear standing next to a window .', 'a large brown bear standing on top of a wooden structure .']",images\19666.jpeg
19695.jpeg,"['a car driving down the road with a dog', 'a car driving down a street with a car in the background .', 'a car driving down a street with a car in the background']",images\19695.jpeg
1973.jpeg,"['a group of people sitting on top of a horse .', 'a group of people sitting on top of a brown horse .', 'a group of people sitting on top of a bench .']",images\1973.jpeg
1975.jpeg,"['a large body of water with lots of boats on it .', 'a large body of water with a lot of boats on it .', 'a large body of water with a lot of boats in it']",images\1975.jpeg
19804.jpeg,"['a black and white photo of a cat and a dog', 'a black and white photo of a cat and a dog .', 'a black and white cat sitting on top of a pile of snow .']",images\19804.jpeg
19836.jpeg,"['a red fire hydrant sitting in the middle of a forest .', 'a red fire hydrant sitting in the middle of a street .', 'a red fire hydrant sitting in the middle of a sidewalk .']",images\19836.jpeg
19838.jpeg,"['a dog sitting on a couch in front of a window .', 'a cat is sitting on a window sill .', 'a cat is sitting on a window sill looking out the window .']",images\19838.jpeg
19841.jpeg,"['a brown and white cow standing on top of snow covered ground .', 'a brown and white cow standing on top of a snow covered field .', 'a brown and white cow standing on top of a snow covered ground .']",images\19841.jpeg
1986.jpeg,"['a group of people sitting on top of a snow covered slope .', 'a group of people sitting in the snow with snowboards .', 'a group of people sitting on top of snow covered ground .']",images\1986.jpeg
19906.jpeg,"['a couple of stuffed bears sitting next to each other .', 'a couple of stuffed bears sitting on top of a table .', 'a couple of stuffed animals sitting on top of a table .']",images\19906.jpeg
19910.jpeg,"['a man riding a skateboard down a street .', 'a person riding a skate board on a city street', 'a man riding a skateboard down the side of a ramp .']",images\19910.jpeg
19917.jpeg,"['a black and white photo of a man sitting on a bench .', 'a black and white photo of a person sitting on a bench', 'a black and white photo of a person sitting on a bench .']",images\19917.jpeg
19926.jpeg,"['a bike is parked on the side of the road .', 'a bicycle is parked on the side of the road .', 'a bike is parked on the side of a road .']",images\19926.jpeg
19936.jpeg,"['a group of people standing on top of a snow covered slope .', 'a group of people on a ski lift .', 'a group of people standing on top of a wooden bench .']",images\19936.jpeg
19937.jpeg,"['a group of animals that are standing in the grass .', 'a herd of animals standing on top of a lush green hillside .', 'a herd of animals standing on top of a lush green field .']",images\19937.jpeg
19938.jpeg,"['a man riding a motorcycle down a street .', 'a man riding a motorcycle down a dirt road .', 'a man riding a motorcycle on a dirt road .']",images\19938.jpeg
1995.jpeg,"['a man standing in a field next to a dog .', 'a man standing on a hill with a kite .', 'a man standing in a field with a dog in the background .']",images\1995.jpeg
19958.jpeg,"['a man on a surfboard in the water .', 'a man on a surfboard in the water', 'a man in a wet suit riding a wave on a surfboard .']",images\19958.jpeg
1996.jpeg,"['a close up of a sign with a sign on it', 'a close up of a street sign with a sign on it', 'a close up of a street sign with a sign']",images\1996.jpeg
19961.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of people sitting on a bench in a park .']",images\19961.jpeg
19983.jpeg,"['a group of people standing on top of a river .', 'a group of people riding on top of a river .', 'a group of people riding on top of a boat .']",images\19983.jpeg
20002.jpeg,"['a black and white photo of a person on a snowboard .', 'a black and white photo of a man on a snowboard .', 'a black and white photo of a person on a snowboard']",images\20002.jpeg
20011.jpeg,"['a group of people standing on top of a snow covered slope .', 'a group of people standing in the snow .', 'a group of people standing on top of a ski slope .']",images\20011.jpeg
20028.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people riding on the back of elephants .', 'a group of people riding on the backs of elephants']",images\20028.jpeg
20043.jpeg,"['a group of people standing on top of a beach .', 'a group of people standing on top of a pier .', 'a group of people standing on a pier next to a body of water .']",images\20043.jpeg
20068.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other holding surfboards .', 'a group of people standing next to each other holding a surfboard .']",images\20068.jpeg
20100.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard in a parking lot .', 'a man riding a skateboard in a parking lot']",images\20100.jpeg
20101.jpeg,"['a train traveling through a lush green forest .', 'a black and white photo of a train traveling through a forest .', 'a train traveling through a lush green forest']",images\20101.jpeg
20159.jpeg,"['a black and white photo of a stop sign .', 'a black and white photo of a stop sign', 'a black and white photo of a sign on a wall']",images\20159.jpeg
20173.jpeg,"['a group of people sitting on top of a motorcycle .', 'a group of people sitting on top of a truck .', 'a group of people sitting on top of a boat .']",images\20173.jpeg
2018.jpeg,"['a couple of bears walking down a road .', 'a couple of bears are walking down a road', 'a couple of bears that are walking down a road']",images\2018.jpeg
20197.jpeg,"['a bear is standing in the woods in the woods .', 'a bear is standing in the woods near a tree .', 'a bear is walking through a forest with trees .']",images\20197.jpeg
202.jpeg,"['a dog sitting on a chair in a room .', 'a dog is sitting on a red chair .', 'a dog is sitting on a red chair']",images\202.jpeg
20202.jpeg,"['a group of people standing next to a sign .', 'a group of men standing next to each other .', 'a group of men standing next to each other on a field .']",images\20202.jpeg
20221.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people skiing down a snow covered slope .', 'a group of people riding skis on a snowy surface']",images\20221.jpeg
20231.jpeg,"['a person sitting on a bench with an umbrella', 'a person sitting on a bench with an umbrella .', 'a person sitting on a bench with a laptop']",images\20231.jpeg
20235.jpeg,"['a large body of water next to a river .', 'a large body of water surrounded by trees', 'a large body of water next to a forest with lots of trees .']",images\20235.jpeg
20254.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a lush green hillside .', 'a group of people standing on a lush green field .']",images\20254.jpeg
20257.jpeg,"['a large building with a clock on it .', ""a large building with a large clock on it 's side ."", 'a large building with a large clock on it .']",images\20257.jpeg
20259.jpeg,"['a group of stuffed animals sitting on top of a wooden bench .', 'a group of stuffed animals sitting on top of a wooden table .', 'a group of stuffed animals sitting on a bench']",images\20259.jpeg
2026.jpeg,"['a group of people standing on top of a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .', 'a group of people riding skis on a snowy surface']",images\2026.jpeg
203.jpeg,"['a black and white photo of a man holding a skateboard .', 'a black and white photo of a man holding a surfboard .', 'a black and white photo of a man holding a stop sign .']",images\203.jpeg
20306.jpeg,"['a dog sitting on a boat in the water .', 'a dog is sitting on a boat in the water .', 'a dog sitting on a boat in the water']",images\20306.jpeg
2032.jpeg,"['a woman sitting on a bench in front of a window .', 'a woman sitting on a bench in front of a building .', 'a woman sitting on a bench in front of a window']",images\2032.jpeg
2033.jpeg,"['a black bear standing in the middle of a forest .', 'a black bear walking through a forest next to trees .', 'a black bear walking through a forest next to a forest .']",images\2033.jpeg
20333.jpeg,"['a couple of zebra standing next to each other .', 'a couple of zebra standing next to a tree .', 'a couple of zebras are standing in a field']",images\20333.jpeg
2036.jpeg,"['a group of people walking along a beach next to a lake .', 'a group of people walking along a beach next to the ocean .', 'a group of people walking along a river next to a river .']",images\2036.jpeg
20363.jpeg,"['a group of people on a beach with umbrellas .', 'a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .']",images\20363.jpeg
2037.jpeg,"['a group of people standing next to a tree .', 'a group of people standing around a bunch of animals .', 'a group of people standing around a bunch of sheep .']",images\2037.jpeg
2041.jpeg,"['a group of men standing next to each other .', 'a group of people standing next to a sign .', 'a group of men standing next to each other on a street .']",images\2041.jpeg
20420.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a grass covered field .', 'a group of people standing on top of a field .']",images\20420.jpeg
20423.jpeg,"['a group of people standing in front of a building .', 'a group of people standing on top of a lush green field .', 'a group of people standing on top of a grass covered field .']",images\20423.jpeg
20430.jpeg,"['a group of people sitting on top of a boat .', 'a group of people on a boat in the water .', 'a group of people sitting on top of a wooden boat .']",images\20430.jpeg
20435.jpeg,"['a pair of scissors and a pair of scissors .', 'a pair of scissors are on a table .', 'a pair of scissors and a pair of scissors on a table .']",images\20435.jpeg
20457.jpeg,"['a person riding a skate board at a skate park', 'a person riding a skate board on a city street', 'a person riding a skate board on a street']",images\20457.jpeg
2047.jpeg,"['a black and white photo of a snow covered mountain .', 'a black and white photo of a snow covered mountain', 'a black and white photo of a snowy mountain']",images\2047.jpeg
2048.jpeg,"['a man sitting on a bench in the middle of the road .', 'a man sitting on a bench in the middle of the road', 'a group of people sitting on a bench in the middle of the water .']",images\2048.jpeg
2049.jpeg,"['a group of people standing on top of a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .', 'a group of people riding skis on top of a snow covered ground .']",images\2049.jpeg
2050.jpeg,"['a man and a woman on a boat in the water .', 'a man and a dog on a boat in the water .', 'a man and a woman on a small boat in the water .']",images\2050.jpeg
20523.jpeg,"['a polar bear standing on a rock in a zoo .', 'a polar bear standing in a zoo exhibit', 'a polar bear standing in the middle of a zoo .']",images\20523.jpeg
2054.jpeg,"['a couple of bears that are in the grass .', 'a couple of bears that are standing in the grass .', 'a couple of bears that are on some rocks']",images\2054.jpeg
20562.jpeg,"['a clock on the side of a building', 'a clock on the side of a building .', 'a close up of a clock on a building']",images\20562.jpeg
20579.jpeg,"['a couple of bears that are in the snow .', 'a couple of bears that are standing in the snow .', 'a couple of bears that are walking in the snow .']",images\20579.jpeg
2059.jpeg,"['a group of people standing next to a zebra .', 'a group of people standing next to a giraffe .', 'a group of people standing next to a zebra']",images\2059.jpeg
20591.jpeg,"['a black and white photo of a forest with trees', 'a black and white photo of a forest with trees .', 'a black and white photo of a park with trees']",images\20591.jpeg
20594.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of people sitting on top of a rock .']",images\20594.jpeg
206.jpeg,"['a person riding a skate board in a skate park', 'a person riding a skate board on a ledge', 'a person riding a skate board in the air']",images\206.jpeg
2060.jpeg,"['a group of people riding on top of a boat .', 'a group of people on a boat in the water .', 'a group of people riding on top of a boat in a river .']",images\2060.jpeg
20608.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a person on a surfboard in the water .', 'a person on a snowboard in the snow .']",images\20608.jpeg
2061.jpeg,"['a couple of women standing next to each other .', 'a couple of women standing next to each other on a stage .', 'a couple of women standing next to each other in front of a building .']",images\2061.jpeg
2062.jpeg,"['a woman holding a baby in front of a bear .', 'a woman is holding a baby in front of a bear .', 'a woman is holding a baby in front of a tree .']",images\2062.jpeg
2063.jpeg,"['a black cat sitting on top of a car .', 'a black cat sitting in the back of a car .', 'a black dog sitting in the back of a car .']",images\2063.jpeg
20670.jpeg,"['a couple of birds standing on top of a lush green field .', 'a couple of birds standing on top of a grass covered field .', 'a couple of birds standing on top of a field .']",images\20670.jpeg
20677.jpeg,"['a group of people standing next to a boat .', 'a group of people sitting on a bench in front of a building .', 'a group of people sitting on a bench next to a boat .']",images\20677.jpeg
20685.jpeg,"['a statue of a man is holding a clock .', 'a statue of a man is holding a clock', 'a statue of a man in a suit and tie .']",images\20685.jpeg
2070.jpeg,"['a man sitting on a bench in a forest .', 'a man sitting on a bench in the woods .', 'a man sitting on a bench in a park .']",images\2070.jpeg
2076.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of people sitting on top of a cement bench .']",images\2076.jpeg
20780.jpeg,"['a group of people standing on top of a snow covered slope .', 'a group of people riding skis down a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .']",images\20780.jpeg
208.jpeg,"['a black and white photo of a baseball team .', 'a black and white photo of a baseball team', 'a black and white photo of a group of people .']",images\208.jpeg
2080.jpeg,"['a black bear is standing in the woods .', 'a black bear is standing on a tree branch', 'a black bear is standing in the woods']",images\2080.jpeg
20802.jpeg,"['a bear is standing in the middle of the road .', 'a bear is standing in the middle of a road .', 'a bear is standing in the middle of a street .']",images\20802.jpeg
20833.jpeg,"['a truck is parked on the side of the road .', 'a truck is parked on the side of a road .', 'a truck is parked on the side of the road']",images\20833.jpeg
20846.jpeg,"['a black and white photo of a black and white animal', 'a black and white photo of a black and white bird', 'a black and white photo of a black and white animal .']",images\20846.jpeg
20863.jpeg,"[""a sign that reads `` <UNK> '' on a pole ."", ""a sign that reads `` <UNK> '' is on a pole ."", ""a sign that reads `` <UNK> '' on a pole""]",images\20863.jpeg
20870.jpeg,"['a man riding a bike down a snow covered slope .', 'a man riding a bike down a snow covered road .', 'a person on a motorcycle in the middle of a forest .']",images\20870.jpeg
20884.jpeg,"['a group of people standing around a river .', 'a group of people standing on top of a river .', 'a group of people standing on top of a lush green field .']",images\20884.jpeg
20923.jpeg,"['a couple of birds sitting on top of a wooden table .', 'a group of birds sitting on top of a wooden table .', 'a couple of birds sitting on top of a wooden bench .']",images\20923.jpeg
2093.jpeg,"['a couple of people sitting on top of a bench .', 'a couple of people sitting on top of a wooden bench .', 'a group of people sitting on a bench in front of a building .']",images\2093.jpeg
2094.jpeg,"['a flock of birds flying over a body of water .', 'a flock of birds flying over a mountain .', 'a flock of birds sitting on top of a mountain .']",images\2094.jpeg
20940.jpeg,"['a man holding a frisbee in his hand .', 'a man holding a frisbee in his hands .', 'a man is holding a frisbee in his hand .']",images\20940.jpeg
